;accuracy;classifier;classifier_time;f1_score;transformer;transformer_time;vectorizer;vectorizer_time;fscore_1;fscore_2;precision_1;precision_2;recall_1;recall_2;support_1;support_2
55;0,7127;Naive Bayes;0,02;0,712153091;TF-IDF l2 linear;0,01;1- and 2-grams;1,94;0,713244835;0,712153091;0,702793076;0,722945484;0,724012158;0,701678184;4935;5065
56;0,5857;Nearest Neighbors;7,44;0,531175738;TF l2 log;0,01;2-grams;1,52;0,628863209;0,531175738;0,563583815;0,622216331;0,711246201;0,463376111;4935;5065
57;0,5285;Linear SVM;66,33;0,218465109;TF l2 log;0,01;2-grams;1,52;0,662418558;0,218465109;0,512178919;0,680785124;0,937386018;0,130108588;4935;5065
58;0,6527;RBF SVM;180,7;0,66819528;TF l2 log;0,01;2-grams;1,52;0,635686562;0,66819528;0,658982166;0,647352832;0,613981763;0,690424482;4935;5065
59;0,532;Decision Tree;0,08;0,346551243;TF l2 log;0,01;2-grams;1,52;0,635457236;0,346551243;0,516133114;0,591797806;0,826545086;0,245014808;4935;5065
60;0,494;Random Forest;0,06;0,002759164;TF l2 log;0,01;2-grams;1,52;0,660994238;0,002759164;0,49374437;0,777777778;0,999594732;0,001382034;4935;5065
61;0,5507;AdaBoost;1,32;0,378131488;TF l2 log;0,01;2-grams;1,52;0,648297456;0,378131488;0,528188776;0,632407407;0,839108409;0,269693978;4935;5065
62;0,6484;Naive Bayes;0,01;0,627700127;TF l2 log;0,01;2-grams;1,52;0,666919288;0,627700127;0,626223092;0,676866865;0,713272543;0,585192498;4935;5065
63;0,5873;Nearest Neighbors;6,83;0,53393563;TF l2 linear;0,01;2-grams;1,52;0,629699417;0,53393563;0,565056361;0,623746702;0,711043566;0,466732478;4935;5065
64;0,5288;Linear SVM;70,37;0,220899471;TF l2 linear;0,01;2-grams;1,52;0,662270642;0,220899471;0,512365532;0,679552391;0,936170213;0,131885489;4935;5065
65;0,6532;RBF SVM;164,23;0,668957617;TF l2 linear;0,01;2-grams;1,52;0,635867283;0,668957617;0,659838745;0,647569765;0,613576494;0,691806515;4935;5065
